"Height" "Weight" "Age" "Salary" "Team" "Position" "Games played" "Minutes" "Fields goals made" "Fields goal attempted" "% Fields goal made" "3pts FGM" "3pts  FGA" "% 3pts FG" "Free throws made" "Free throws attempted" "% FT" "Off rebond" "Def rebond" "Total rebond" "Assits" "Turnover" "Steals" "Blocks" "Blocked fields goals attempted" "Personnal fouls" "Personnal fouls drawn" "Points" "Point differential of the score"
"Kendrick Perkins" 2.08 122.5 27 8300531 "Oklahoma City Thunder" "Center" 78 25.1 1.8 4 0.46 0 0 0 0.6 0.9 0.61 1.4 4.6 6 1.4 1.4 0.6 1.1 0.5 2.9 0.9 4.2 5.2
"Kevin Durant" 2.06 108.9 23 16669630 "Oklahoma City Thunder" "Forward" 81 38.5 9 17.7 0.51 1.7 4.1 0.42 8.4 9.3 0.91 0.6 7.3 7.9 4.6 3.5 1.4 1.3 0.5 1.8 6.5 28.1 8.9
"Kevin Martin" 2.01 89.4 29 12439675 "Oklahoma City Thunder" "Guard" 77 27.7 4.5 10.1 0.45 2.1 4.8 0.43 2.8 3.2 0.89 0.4 1.9 2.3 1.4 1.3 0.9 0.1 0.4 1.8 2.1 14 5.7
"Nick Collison" 2.08 115.7 31 2929332 "Oklahoma City Thunder" "Center" 81 19.5 2.2 3.7 0.6 0 0 0 0.7 1 0.77 1.5 2.6 4.1 1.5 0.9 0.6 0.4 0.3 2.4 1.3 5.1 4.5
"Perry Jones" 2.11 106.6 20 1035960 "Oklahoma City Thunder" "Forward" 38 7.4 1 2.6 0.39 0 0.1 0 0.3 0.4 0.67 0.3 1.3 1.6 0.3 0.4 0.1 0.2 0.2 0.6 0.3 2.3 0
"Reggie Jackson" 1.91 94.3 22 1208400 "Oklahoma City Thunder" "Guard" 70 14.2 2.1 4.6 0.46 0.3 1.5 0.23 0.7 0.9 0.84 0.3 2.1 2.4 1.7 0.8 0.4 0.2 0.2 1.2 1 5.3 1.5
"Ronnie Brewer 1" 2.01 106.6 27 854389 "Oklahoma City Thunder" "Forward" 14 10.1 0.4 1.6 0.26 0.1 0.4 0.2 0 0 0 0.9 1.9 2.9 0.7 0.3 0.6 0 0.1 0.4 0.1 0.9 0.5
"Russell Westbrook" 1.91 90.7 23 13668750 "Oklahoma City Thunder" "Guard" 82 34.9 8.2 18.7 0.44 1.2 3.7 0.32 5.6 7 0.8 1.4 3.9 5.2 7.4 3.3 1.8 0.3 0.9 2.3 4.8 23.2 7.7
"Serge Ibaka" 2.08 111.1 22 2253062 "Oklahoma City Thunder" "Forward" 80 31.1 5.6 9.7 0.57 0.3 0.7 0.35 1.8 2.4 0.75 2.8 4.9 7.7 0.5 1.6 0.4 3 0.4 2.7 1.9 13.2 6.1
"Thabo Sefolosha" 2.01 100.7 28 3600000 "Oklahoma City Thunder" "Guard" 81 27.5 2.8 5.8 0.48 1.3 3.2 0.42 0.7 0.9 0.83 0.7 3.2 3.9 1.5 0.8 1.3 0.5 0.2 2.2 0.8 7.6 6.2
"Amar'e Stoudemire" 2.11 111.1 29 19948799 "New York Knicks" "Forward" 29 23.5 5.3 9.2 0.58 0 0 0 3.6 4.5 0.81 2.1 2.9 5 0.4 1.7 0.3 0.7 1.1 3.1 3.4 14.2 1
"Carmelo Anthony" 2.03 106.6 28 19450000 "New York Knicks" "Forward" 67 37 10 22.2 0.45 2.3 6.2 0.38 6.3 7.6 0.83 2 4.9 6.9 2.6 2.6 0.8 0.5 1.3 3.1 6.2 28.7 4.6
